epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16383.1,0.68987,0.41197,1.01951,0.95495,0.95513,0.97653,0.84148,0.6372,0.35703,0.99783,0.005842,0.005842,0.005842
44,16592.1,0.68927,0.4096,1.02245,0.95769,0.94972,0.97627,0.84004,0.64501,0.3599,1.00676,0.005743,0.005743,0.005743
45,16796.7,0.6873,0.41004,1.02108,0.95586,0.95165,0.97844,0.84472,0.63981,0.35137,1.00418,0.005644,0.005644,0.005644
46,17004.3,0.68082,0.40606,1.01661,0.95626,0.95832,0.97819,0.84354,0.63606,0.35122,1.0003,0.005545,0.005545,0.005545
47,17213.9,0.67932,0.40449,1.01863,0.9539,0.95574,0.97723,0.84398,0.63306,0.35129,0.99691,0.005446,0.005446,0.005446
48,17423.4,0.6734,0.40023,1.01598,0.96053,0.95149,0.97771,0.84358,0.63831,0.34869,1.00396,0.005347,0.005347,0.005347
49,17630.3,0.67887,0.4016,1.01174,0.9601,0.95352,0.97789,0.84566,0.6339,0.34993,1.00104,0.005248,0.005248,0.005248
50,17839.4,0.6673,0.39423,1.01302,0.94988,0.96196,0.97844,0.84598,0.63618,0.34871,1.00086,0.005149,0.005149,0.005149
51,18047.1,0.67095,0.3983,1.01218,0.95059,0.96025,0.97707,0.8445,0.63038,0.35331,0.99906,0.00505,0.00505,0.00505
52,18253.1,0.67155,0.39847,1.01252,0.95315,0.95824,0.97815,0.84293,0.63437,0.35188,1.00057,0.004951,0.004951,0.004951
53,18460.1,0.66146,0.39034,1.00747,0.95635,0.95674,0.97833,0.84805,0.62398,0.34294,0.99143,0.004852,0.004852,0.004852
54,18666.9,0.66344,0.39273,1.00228,0.95594,0.95541,0.97793,0.84725,0.62903,0.34194,0.99541,0.004753,0.004753,0.004753
55,18872.4,0.66044,0.38806,1.01053,0.94972,0.96152,0.97743,0.84708,0.62622,0.34384,0.99631,0.004654,0.004654,0.004654
56,19079.8,0.65966,0.38875,1.00465,0.9515,0.95751,0.97676,0.84582,0.62148,0.34006,0.99313,0.004555,0.004555,0.004555
57,19300,0.65653,0.38738,1.00493,0.95828,0.9521,0.97729,0.84714,0.62385,0.34001,0.99152,0.004456,0.004456,0.004456
58,19521,0.65133,0.38342,1.00305,0.95449,0.95636,0.97768,0.84801,0.623,0.33805,0.99289,0.004357,0.004357,0.004357
59,19728.6,0.65857,0.38587,1.00549,0.94716,0.96481,0.97777,0.84707,0.62731,0.33691,0.99473,0.004258,0.004258,0.004258
60,19933.7,0.6488,0.38187,1.00268,0.95777,0.95549,0.97719,0.8472,0.62593,0.33793,0.9936,0.004159,0.004159,0.004159
61,20140.6,0.64987,0.38015,0.99812,0.95835,0.9539,0.97693,0.84802,0.6252,0.33585,0.99101,0.00406,0.00406,0.00406
62,20438.9,0.64769,0.37903,0.99958,0.95574,0.9557,0.97816,0.84883,0.62357,0.33348,0.99043,0.003961,0.003961,0.003961
63,20645.2,0.64016,0.37395,0.9962,0.95157,0.96064,0.97861,0.84882,0.62294,0.33219,0.99063,0.003862,0.003862,0.003862
64,20851.7,0.64217,0.37591,0.99562,0.95159,0.95894,0.97818,0.84897,0.62243,0.33525,0.99308,0.003763,0.003763,0.003763
65,21083.9,0.63664,0.36901,0.99475,0.95474,0.95722,0.97843,0.84998,0.62322,0.33238,0.99215,0.003664,0.003664,0.003664
66,21288.7,0.63302,0.36639,0.99712,0.95358,0.95901,0.97808,0.84965,0.62088,0.33301,0.99007,0.003565,0.003565,0.003565
67,21495.6,0.63155,0.36646,0.99166,0.95404,0.95853,0.97813,0.84995,0.62343,0.3317,0.99301,0.003466,0.003466,0.003466
68,21729.3,0.6332,0.36853,0.99042,0.95563,0.95744,0.97864,0.84876,0.62156,0.33175,0.99367,0.003367,0.003367,0.003367
69,21937.2,0.6291,0.36503,0.99083,0.95263,0.95989,0.9785,0.84824,0.62342,0.33145,0.99618,0.003268,0.003268,0.003268
