epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7310.42,1.00293,0.63033,1.0286,0.91045,0.89234,0.94746,0.68892,0.96222,0.6005,1.01494,0.009307,0.009307,0.009307
44,7439.22,0.99544,0.62945,1.02364,0.91049,0.89394,0.95263,0.69347,0.97119,0.58274,1.0154,0.0092905,0.0092905,0.0092905
45,7556.6,0.99038,0.62551,1.02535,0.91321,0.88158,0.94796,0.68763,0.97803,0.57796,1.01971,0.009274,0.009274,0.009274
46,7679.85,0.98056,0.62002,1.01553,0.91043,0.89167,0.94809,0.69049,0.96586,0.57896,1.00777,0.0092575,0.0092575,0.0092575
47,7797.85,0.99024,0.62575,1.02443,0.91666,0.88278,0.94882,0.68877,0.95913,0.57487,1.01529,0.009241,0.009241,0.009241
48,7908.81,0.9826,0.61802,1.02111,0.89031,0.9071,0.94952,0.69515,0.95447,0.58223,1.00557,0.0092245,0.0092245,0.0092245
49,8026.72,0.98916,0.62181,1.02151,0.909,0.89619,0.9481,0.68741,0.96403,0.56604,1.01325,0.009208,0.009208,0.009208
50,8136.44,0.98426,0.62208,1.02058,0.8999,0.90112,0.94898,0.69168,0.95981,0.56508,1.00502,0.0091915,0.0091915,0.0091915
51,8255.03,0.98117,0.62194,1.01894,0.90185,0.90127,0.94833,0.69492,0.95851,0.58107,1.00922,0.009175,0.009175,0.009175
52,8377.27,0.9713,0.61217,1.01264,0.9049,0.89593,0.94847,0.69672,0.96306,0.57833,1.01011,0.0091585,0.0091585,0.0091585
53,8489.98,0.97183,0.60587,1.01523,0.90615,0.897,0.94808,0.69238,0.95936,0.56653,1.00803,0.009142,0.009142,0.009142
54,8611.59,0.97806,0.61334,1.01346,0.90254,0.90311,0.95177,0.69608,0.94705,0.57611,1.00827,0.0091255,0.0091255,0.0091255
55,8745.12,0.97584,0.60821,1.01391,0.89546,0.91536,0.95294,0.69856,0.94661,0.5562,1.00791,0.009109,0.009109,0.009109
56,8856.56,0.96658,0.60272,1.00756,0.89954,0.89713,0.94942,0.69541,0.95174,0.56118,1.00283,0.0090925,0.0090925,0.0090925
57,8959.49,0.96933,0.60226,1.01429,0.90588,0.90311,0.95172,0.69755,0.95318,0.55762,1.01084,0.009076,0.009076,0.009076
